stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_timezone,location_type,parent_station,level_id
ITOAUTO125055,,"Meunier",48.634331,2.584659,1,,0,ITOAUTO125042,
ITOAUTO125104,,"Gare Routière des Clayes",48.823322,1.991734,0,,0,ITOAUTO81522,
ITOAUTO125170,,"Gare de Bois-Colombes",48.914028,2.271263,0,,0,ITOAUTO79339,
ITOAUTO125172,,"Gare de Cormeilles-en-Parisis",48.968170,2.193639,0,,0,ITOAUTO77271,
ITOAUTO125205,,"Mail du Promeneur",48.848377,2.733039,2,,0,ITOAUTO125204,
ITOAUTO125206,,"Mail du Promeneur",48.848267,2.732876,2,,0,ITOAUTO125204,
ITOAUTO125303,,"Fernand Léger / Vosves",48.513874,2.592802,0,,0,ITOAUTO81031,
ITOAUTO125464,,"Clos Thiéry",48.651524,2.282217,1,,0,ITOAUTO125460,
ITOAUTO125466,,"Nanterre - Université RER - Gascogne",48.900333,2.214306,2,Europe/Paris,,,
ITOAUTO125468,,"Rousset - Audigers",48.421375,2.389869,2,,0,ITOAUTO125437,
ITOAUTO125469,,"François 1er",48.410221,2.692887,2,,0,PARIS207235,
ITOAUTO125470,,"François 1er",48.410252,2.693062,2,,0,PARIS207235,
ITOAUTO125471,,"Rousset - Audigers",48.421215,2.389817,2,,0,ITOAUTO125437,
ITOAUTO125473,,"Terminal David Douillet",48.562889,2.491996,2,,0,ITOAUTO120980,
ITOAUTO125474,,"Le Bouchet",48.532642,2.362568,2,,0,PARIS7478,
ITOAUTO125485,,"Nanterre - Université RER - Gascogne",48.900265,2.214552,2,Europe/Paris,,,
ITOAUTO125486,,"ZAE du Chênet",48.397884,2.419797,2,,0,ITOAUTO125436,
ITOAUTO125492,,"Guignonville",48.398819,2.209587,2,,0,ITOAUTO125463,
ITOAUTO125493,,"Saint-Spire",48.609016,2.480520,2,,0,ITOAUTO132207,
ITOAUTO125496,,"Collège L. de Vincy",48.477375,2.354742,2,,0,ITOAUTO125450,
ITOAUTO125497,,"LEP Mandela",48.433983,2.140161,2,,0,ITOAUTO101542,
ITOAUTO125499,,"Faisanderie",48.403351,2.686212,2,,0,ITOAUTO125457,
ITOAUTO125502,,"Mairie",48.360199,2.388553,2,,0,PARIS8974,
ITOAUTO125503,,"Grand Bourg",48.641750,2.433721,2,,0,ITOAUTO125451,
ITOAUTO125504,,"Temps des Cerises - SNECMA",48.618622,2.446697,2,,0,ITOAUTO125459,
ITOAUTO125508,,"Courty",48.402523,2.378292,2,,0,ITOAUTO125442,
ITOAUTO125511,,"Gare Routière",48.400642,2.479458,2,,0,ITOAUTO125441,
ITOAUTO125514,,"Grande Rue",48.386597,2.472573,2,,0,ITOAUTO125446,
ITOAUTO125515,,"Mairie",48.380920,2.475142,2,,0,ITOAUTO125447,
ITOAUTO125516,,"Mairie",48.381145,2.474964,2,,0,ITOAUTO125447,
ITOAUTO125517,,"Saint-Pierre",48.389648,2.468895,2,,0,ITOAUTO125455,
ITOAUTO125518,,"Saint-Pierre",48.389503,2.468694,2,,0,ITOAUTO125455,
ITOAUTO125521,,"La Lieue",48.391560,2.302975,2,,0,PARIS8877,
ITOAUTO125524,,"ZAE du Chênet",48.398098,2.419754,2,,0,ITOAUTO125436,
ITOAUTO125525,,"Rue du Clos Noyer",48.400654,2.377301,2,,0,ITOAUTO125440,
