route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
8818,64,VJffc77229390004102d2ee28de5c0247411f6cf01,"Aéroport d'Orly","",1,1,0
8818,64,VJbd4f1e25616ca711aa2de811b6c7ae6259b37b39,"Aéroport d'Orly","",1,1,0
8818,117,VJ41e23df9d1efc381d23d14af852d3b53af76517a,"Aéroport d'Orly","",1,1,0
8818,117,VJ7ad04493fb527ac916af575e0efbf804bdb6b6e7,"Aéroport d'Orly","",1,1,0
8818,64,VJeb4d46a1496bd32a69c0b60d3395395a0f9303ba,"Aéroport d'Orly","",1,1,0
8818,117,VJ58dd667e074e750c1bd0b71d24f5015a9a0a211e,"Aéroport d'Orly","",1,1,0
8818,117,VJc6070f377ebe2bb0442a540d1973829628b29db0,"Aéroport d'Orly","",1,1,0
8818,117,VJ942ae0001a9bae3e3b49002ac4fc7eb7b6fd726a,"Aéroport d'Orly","",1,1,0
8818,12,VJ62bab1356a01dd935803854962ba68fae4239145,"Aéroport d'Orly","",1,1,0
8818,12,VJdbc32b7b1226c96776b4e33be2f3711b68c696a1,"Aéroport d'Orly","",1,1,0
8818,12,VJ34c3f55f63ea03a133848d85ba4350c3e5ba42eb,"Aéroport d'Orly","",1,1,0
8818,12,VJb5fd431b775b863c78984ec6b82c896fb7128b80,"Aéroport d'Orly","",1,1,0
8818,12,VJfe4ac577d264c6bbbbd8c0f3812642416fbe9cf1,"Aéroport d'Orly","",1,1,0
8818,64,VJc7b0a7a8c0bd1651a9af0d525290731f7afc4ed1,"Aéroport d'Orly","",1,1,0
8818,64,VJ99327c5c5c4d1554b734d3c9eac82e2677d8bab6,"Aéroport d'Orly","",1,1,0
8818,64,VJf56499bf086e106d344cb615fe58f8bf7a8f7b13,"Aéroport d'Orly","",1,1,0
8818,64,VJ126b1ac5880f1f77ad55ada5cf47f65d6a2aa06d,"Aéroport d'Orly","",1,1,0
8818,1,VJ9e94db730ed1c1cd5ee13ce472315894988de551,"Aéroport d'Orly","",1,1,0
8818,182,VJ8d5950972e2486558df338fbd1636be3b59ec337,"Aéroport d'Orly","",1,1,0
8818,128,VJ23c11091b3ae7ab2ec21fd95027cf0d0d31c12f2,"Aéroport d'Orly","",1,1,0
8818,128,VJf9b737d593b4d2da2f3a8a6effbffa68b30c707b,"Aéroport d'Orly","",1,1,0
8818,128,VJ2e1a2f4133f196dcf1fed52166a6083aba03ec60,"Aéroport d'Orly","",1,1,0
8818,128,VJd24ac8a96a7895878f84eed1bda2d6be44729e3e,"Aéroport d'Orly","",1,1,0
8818,128,VJbadffcba1a970aa89339ff73ba4002b83e2545fc,"Aéroport d'Orly","",1,1,0
8818,128,VJ60ba39355f5990a121b57a5c6ef1be79e90cfa8a,"Aéroport d'Orly","",1,1,0
8818,128,VJe79330b69cfd3f1203312aa6db51fab79261d352,"Aéroport d'Orly","",1,1,0
8818,128,VJ168a6cdb35cbbbeb143492dd8c0a9bd185261ae5,"Aéroport d'Orly","",1,1,0
8818,128,VJ3a317e5008a3887ea7c2d699b00f586ba6ffda4c,"Aéroport d'Orly","",1,1,0
8818,1,VJae7f1cac4a2b344e40f92a4ea89a7845e9711014,"Aéroport d'Orly","",1,1,0
8818,1,VJ41fcc9525af2f80347f49424e01d804a12aae8ec,"Aéroport d'Orly","",1,1,0
8818,182,VJ9b2231d3459a3ae0b6c2a5342ddca8d58ee20a23,"Aéroport d'Orly","",1,1,0
8818,1,VJc2042d0ec895fb311ee94d6b10eca90895648785,"Aéroport d'Orly","",1,1,0
8818,1,VJ17184246a3f30e4825396d69b6e893494cd0a092,"Aéroport d'Orly","",1,1,0
8818,12,VJac8dcd74dcabfeaf9fcbeb9ee5c0574d7593389b,"Aéroport d'Orly","",1,1,0
8818,12,VJ1b4f1cccc6eb2780a5ab11da8e6cbf654a980b36,"Aéroport d'Orly","",1,1,0
8818,12,VJ39ce372cb92f84f3047bc787520822f253383844,"Aéroport d'Orly","",1,1,0
8818,12,VJffa9a78e236de77158683f0de2001cb55e62dea6,"Aéroport d'Orly","",1,1,0
8818,12,VJ4363eef7d68d94d774fef0fa56c99c0629b70752,"Aéroport d'Orly","",1,1,0
8818,12,VJb64079505b176457d6b473fb12c5ff8d3d9f0d80,"Aéroport d'Orly","",1,1,0
8818,92,VJd20482d93450f1630655ebd4869ca39b1bf83c46,"Aéroport d'Orly","",1,1,0
8818,12,VJ5f3b229285c7df96c3cba16d2525f4786a936603,"Aéroport d'Orly","",1,1,0
8818,12,VJ4edab4f7852bab925fe2b5cbfa4bb3121bca95e3,"Aéroport d'Orly","",1,1,0
