source,target,airline,departure_ts,arrival_ts,distance,delay
HOU,DAL,WN,2015-01-02T17:29:00,2015-01-02T18:20:00,239,-1.0
LAX,SJC,WN,2015-01-02T17:33:00,2015-01-02T18:38:00,308,3.0
LGA,BNA,WN,2015-01-02T17:39:00,2015-01-02T19:12:00,764,9.0
SAN,LAS,WN,2015-01-02T17:30:00,2015-01-02T18:40:00,258,0.0
SAN,OAK,WN,2015-01-02T17:30:00,2015-01-02T18:59:00,446,0.0
SAT,MDW,WN,2015-01-02T18:21:00,2015-01-02T21:00:00,1036,51.0
JFK,LAX,AA,2015-01-02T17:26:00,2015-01-02T20:56:00,2475,-4.0
COS,DFW,AA,2015-01-02T19:12:00,2015-01-02T22:19:00,592,102.0
DTW,MIA,AA,2015-01-02T17:24:00,2015-01-02T20:27:00,1145,-6.0
SAN,DFW,AA,2015-01-02T17:25:00,2015-01-02T22:25:00,1171,-5.0
LGA,DFW,AA,2015-01-02T17:20:00,2015-01-02T20:40:00,1389,-10.0
DAY,DFW,AA,2015-01-02T17:42:00,2015-01-02T19:28:00,861,12.0
MIA,STX,AA,2015-01-02T17:30:00,2015-01-02T21:12:00,1139,0.0
DFW,BOS,AA,2015-01-02T17:44:00,2015-01-02T21:50:00,1562,14.0
DFW,PDX,AA,2015-01-02T17:48:00,2015-01-02T19:54:00,1616,18.0
JFK,EGE,AA,2015-01-02T17:28:00,2015-01-02T20:22:00,1746,-2.0
FAI,SEA,AS,2015-01-02T17:25:00,2015-01-02T21:57:00,1533,-5.0
SJC,SEA,AS,2015-01-02T17:20:00,2015-01-02T19:29:00,697,-10.0
SAN,SEA,AS,2015-01-02T17:24:00,2015-01-02T20:37:00,1050,-6.0
ORD,PDX,AS,2015-01-02T17:31:00,2015-01-02T20:00:00,1739,1.0
JFK,BUR,B6,2015-01-02T17:29:00,2015-01-02T21:16:00,2465,-1.0
SEA,LGB,B6,2015-01-02T17:21:00,2015-01-02T19:30:00,965,-9.0
JFK,LAS,DL,2015-01-02T17:40:00,2015-01-02T20:38:00,2248,10.0
ATL,MEM,DL,2015-01-02T17:43:00,2015-01-02T17:58:00,332,13.0
DTW,MCO,DL,2015-01-02T17:26:00,2015-01-02T19:58:00,957,-4.0
DTW,ORD,DL,2015-01-02T17:38:00,2015-01-02T17:45:00,235,8.0
PIT,ATL,DL,2015-01-02T17:24:00,2015-01-02T19:19:00,526,-6.0
MCO,SLC,DL,2015-01-02T17:46:00,2015-01-02T20:26:00,1931,16.0
EWR,SLC,DL,2015-01-02T17:30:00,2015-01-02T20:55:00,1969,0.0
DTW,LAS,DL,2015-01-02T17:24:00,2015-01-02T18:51:00,1749,-6.0
DTW,TPA,DL,2015-01-02T17:20:00,2015-01-02T20:01:00,983,-10.0
LGA,MCO,DL,2015-01-02T18:12:00,2015-01-02T21:04:00,950,42.0
MSY,DTW,DL,2015-01-02T17:25:00,2015-01-02T20:41:00,926,-5.0
BWI,DTW,DL,2015-01-02T17:26:00,2015-01-02T18:50:00,409,-4.0
CHS,ATL,DL,2015-01-02T17:27:00,2015-01-02T18:52:00,259,-3.0
DTW,SAN,DL,2015-01-02T17:24:00,2015-01-02T19:16:00,1956,-6.0
SLC,MSY,DL,2015-01-02T17:37:00,2015-01-02T21:57:00,1428,7.0
LGA,ATL,DL,2015-01-02T17:39:00,2015-01-02T20:20:00,762,9.0
ATL,ORF,DL,2015-01-02T17:57:00,2015-01-02T19:18:00,516,27.0
MCO,ATL,DL,2015-01-02T17:26:00,2015-01-02T19:09:00,404,-4.0
MCO,HPN,B6,2015-01-02T18:35:00,2015-01-02T21:08:00,972,65.0
ORD,CLE,EV,2015-01-02T17:26:00,2015-01-02T19:38:00,315,-4.0
ATL,SDF,EV,2015-01-02T17:34:00,2015-01-02T18:46:00,321,4.0
ATL,AGS,EV,2015-01-02T17:27:00,2015-01-02T18:10:00,143,-3.0
ATL,BQK,EV,2015-01-02T17:20:00,2015-01-02T18:32:00,238,-10.0
LIT,ORD,MQ,2015-01-02T18:13:00,2015-01-02T20:37:00,552,43.0
SAF,DFW,MQ,2015-01-02T17:57:00,2015-01-02T21:06:00,551,27.0
MLI,DFW,MQ,2015-01-02T18:15:00,2015-01-02T21:12:00,691,45.0
HOU,DFW,MQ,2015-01-02T20:12:00,2015-01-02T21:34:00,247,162.0
SAV,DFW,MQ,2015-01-02T18:38:00,2015-01-02T20:38:00,925,68.0
BPT,DFW,MQ,2015-01-02T18:36:00,2015-01-02T19:47:00,270,66.0
LGA,CMH,MQ,2015-01-02T17:25:00,2015-01-02T19:16:00,479,-5.0
LGA,CLE,EV,2015-01-02T17:20:00,2015-01-02T19:11:00,419,-10.0
SAN,DFW,NK,2015-01-02T17:24:00,2015-01-02T22:20:00,1171,-6.0
ATL,DFW,NK,2015-01-02T19:13:00,2015-01-02T20:42:00,731,103.0
ORD,FLL,NK,2015-01-02T17:24:00,2015-01-02T21:29:00,1182,-6.0
MCI,DFW,NK,2015-01-02T17:24:00,2015-01-02T19:07:00,460,-6.0
FAT,SFO,OO,2015-01-02T17:27:00,2015-01-02T18:14:00,158,-3.0
ORD,MKE,OO,2015-01-02T17:27:00,2015-01-02T18:03:00,67,-3.0
CHO,ORD,OO,2015-01-02T19:38:00,2015-01-02T20:57:00,567,128.0
ABQ,SLC,OO,2015-01-02T17:20:00,2015-01-02T18:56:00,493,-10.0
SLC,RAP,OO,2015-01-02T17:26:00,2015-01-02T18:58:00,508,-4.0
KOA,HNL,HA,2015-01-02T18:19:00,2015-01-02T19:12:00,163,49.0
ORD,COS,OO,2015-01-02T17:30:00,2015-01-02T19:23:00,911,0.0
BIS,DEN,OO,2015-01-02T19:50:00,2015-01-02T20:34:00,516,140.0
DEN,GRR,UA,2015-01-02T17:33:00,2015-01-02T21:39:00,1015,2.0
SJU,IAD,UA,2015-01-02T17:35:00,2015-01-02T20:34:00,1571,4.0
LGA,CLE,EV,2015-01-02T17:21:00,2015-01-02T19:21:00,419,-10.0
BTV,ORD,EV,2015-01-02T17:22:00,2015-01-02T18:51:00,763,-10.0
IDA,DEN,OO,2015-01-02T18:16:00,2015-01-02T19:45:00,458,44.0
SAN,LAX,OO,2015-01-02T17:31:00,2015-01-02T18:20:00,109,-1.0
MIA,DEN,UA,2015-01-02T18:19:00,2015-01-02T20:33:00,1709,46.0
DLH,MSP,OO,2015-01-02T17:33:00,2015-01-02T18:21:00,144,0.0
FSD,DEN,OO,2015-01-02T17:30:00,2015-01-02T18:39:00,483,-3.0
LAX,LAS,OO,2015-01-02T18:19:00,2015-01-02T19:34:00,236,46.0
MKE,ORD,OO,2015-01-02T17:30:00,2015-01-02T18:15:00,67,-3.0
BDL,ORD,UA,2015-01-02T17:53:00,2015-01-02T19:24:00,783,19.0
SFO,EWR,UA,2015-01-02T17:30:00,2015-01-03T01:37:00,2565,-4.0
SJU,EWR,UA,2015-01-02T17:36:00,2015-01-02T20:59:00,1608,2.0
DEN,SDF,EV,2015-01-02T17:37:00,2015-01-02T21:59:00,1024,3.0
SLC,LAX,OO,2015-01-02T18:08:00,2015-01-02T18:53:00,590,34.0
HNL,LIH,HA,2015-01-02T18:33:00,2015-01-02T19:22:00,102,59.0
IAH,DEN,UA,2015-01-02T17:40:00,2015-01-02T19:22:00,862,5.0
IAD,SFO,UA,2015-01-02T17:58:00,2015-01-02T20:55:00,2419,23.0
PHX,SEA,US,2015-01-02T17:29:00,2015-01-02T19:43:00,1107,-6.0
MSP,CLT,US,2015-01-02T17:33:00,2015-01-02T21:03:00,930,-2.0
